Date,Close
10/31/12,13096.46
11/1/12,13232.62
11/2/12,13093.16
11/5/12,13112.44
11/6/12,13245.68
11/7/12,12932.73
11/8/12,12811.32
11/9/12,12815.39
11/12/12,12815.08
11/13/12,12756.18
11/14/12,12570.95
11/15/12,12542.38
11/16/12,12588.31
11/19/12,12795.96
11/20/12,12788.51
11/21/12,12836.89
11/23/12,13009.68
11/26/12,12967.37
11/27/12,12878.13
11/28/12,12985.11
11/29/12,13021.82
11/30/12,13025.58
12/3/12,12965.6
12/4/12,12951.78
12/5/12,13034.49
12/6/12,13074.04
12/7/12,13155.13
12/10/12,13169.88
12/11/12,13248.44
12/12/12,13245.45
12/13/12,13170.72
12/14/12,13135.01
12/17/12,13235.39
12/18/12,13350.96
12/19/12,13251.97
12/20/12,13311.72
12/21/12,13190.84
12/24/12,13139.08
12/26/12,13114.59
12/27/12,13096.31
12/28/12,12938.11
12/31/12,13104.14
1/2/13,13412.55
1/3/13,13391.36
1/4/13,13435.21
1/7/13,13384.29
1/8/13,13328.85
1/9/13,13390.51
1/10/13,13471.22
1/11/13,13488.43
1/14/13,13507.32
1/15/13,13534.89
1/16/13,13511.23
1/17/13,13596.02
1/18/13,13649.7
1/22/13,13712.21
1/23/13,13779.33
1/24/13,13825.33
1/25/13,13895.98
1/28/13,13881.93
1/29/13,13954.42
1/30/13,13910.42
1/31/13,13860.58
2/1/13,14009.79
2/4/13,13880.08
2/5/13,13979.3
2/6/13,13986.52
2/7/13,13944.05
2/8/13,13992.97
2/11/13,13971.24
2/12/13,14018.7
2/13/13,13982.91
2/14/13,13973.39
2/15/13,13981.76
2/19/13,14035.67
2/20/13,13927.54
2/21/13,13880.62
2/22/13,14000.57
2/25/13,13784.17
2/26/13,13900.13
2/27/13,14075.37
2/28/13,14054.49
3/1/13,14089.66
3/4/13,14127.82
3/5/13,14253.77
3/6/13,14296.24
3/7/13,14329.49
3/8/13,14397.07
3/11/13,14447.29
3/12/13,14450.06
3/13/13,14455.28
3/14/13,14539.14
3/15/13,14514.11
3/18/13,14452.06
3/19/13,14455.82
3/20/13,14511.73
3/21/13,14421.49
3/22/13,14512.03
3/25/13,14447.75
3/26/13,14559.65
3/27/13,14526.16
3/28/13,14578.54
4/1/13,14572.85
4/2/13,14662.01
4/3/13,14550.35
4/4/13,14606.11
4/5/13,14565.25
4/8/13,14613.48
4/9/13,14673.46
4/10/13,14802.24
4/11/13,14865.14
4/12/13,14865.06
4/15/13,14599.2
4/16/13,14756.78
4/17/13,14618.59
4/18/13,14537.14
4/19/13,14547.51
4/22/13,14567.17
